utterance_id,user_id,utterance_length,substitutions,deletions,insertions,wer,insertion_rate,deletion_rate,substitution_rate
n000016-fn000029-449.0986-450.1707,n000016,1,1,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-464.9519-466.0240,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-467.7158-469.4785,n000016,4,1,0,0,0.25,0.0,0.0,0.25
n000016-fn000029-480.7581-483.3248,n000016,4,2,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-484.7074-490.7522,n000016,4,2,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-497.0207-498.1650,n000016,2,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-509.8951-510.9981,n000016,2,1,0,1,1.0,0.5,0.0,0.5
n000016-fn000029-52.1802-54.4885,n000016,6,4,1,0,0.833333,0.0,0.166667,0.666667
n000016-fn000029-521.7076-522.8518,n000016,2,1,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-523.3363-525.3670,n000016,4,1,1,0,0.5,0.0,0.25,0.25
n000016-fn000029-530.4885-531.5503,n000016,2,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-533.7016-536.1343,n000016,3,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-537.1758-537.5913,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-550.2322-552.0877,n000016,1,1,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-556.9087-558.0735,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-561.5899-562.6310,n000016,1,1,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-564.1638-565.6998,n000016,1,1,0,1,2.0,1.0,0.0,1.0
n000016-fn000029-576.5979-579.5461,n000016,2,2,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-59.6288-61.8840,n000016,4,4,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-593.2375-594.8482,n000016,2,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-594.8482-597.5639,n000016,1,1,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-599.2528-601.1908,n000016,2,2,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-603.9296-606.2593,n000016,6,3,1,0,0.666667,0.0,0.166667,0.5
n000016-fn000029-612.3540-614.4362,n000016,5,3,1,1,1.0,0.2,0.2,0.6
n000016-fn000029-614.8795-615.9413,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-62.4430-63.6520,n000016,2,1,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-63.6520-65.0492,n000016,3,2,1,0,1.0,0.0,0.333333,0.666667
n000016-fn000029-630.1922-631.2024,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-634.9454-636.0175,n000016,2,1,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-651.5219-654.1608,n000016,2,2,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-67.0578-68.7173,n000016,3,1,1,0,0.666667,0.0,0.333333,0.333333
n000016-fn000029-675.4270-678.1175,n000016,5,2,0,0,0.4,0.0,0.0,0.4
n000016-fn000029-683.5627-684.6142,n000016,2,1,1,0,1.0,0.0,0.5,0.5
n000016-fn000029-69.4087-70.4618,n000016,2,2,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-695.3975-696.4593,n000016,2,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-698.2956-699.8006,n000016,3,2,0,0,0.666667,0.0,0.0,0.666667
n000016-fn000029-708.4957-709.5781,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-71.7835-72.8473,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-712.9618-715.2194,n000016,4,1,1,0,0.5,0.0,0.25,0.25
n000016-fn000029-717.8522-719.1407,n000016,2,1,1,0,1.0,0.0,0.5,0.5
n000016-fn000029-719.5324-721.8106,n000016,4,3,1,0,1.0,0.0,0.25,0.75
n000016-fn000029-723.0385-725.0692,n000016,3,1,2,0,1.0,0.0,0.666667,0.333333
n000016-fn000029-725.7155-727.2205,n000016,2,1,1,0,1.0,0.0,0.5,0.5
n000016-fn000029-730.3069-731.7397,n000016,1,1,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-732.9355-733.9663,n000016,1,1,0,1,2.0,1.0,0.0,1.0
n000016-fn000029-737.7977-739.4573,n000016,4,1,1,1,0.75,0.25,0.25,0.25
n000016-fn000029-743.0752-744.2400,n000016,1,1,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-745.2296-746.5491,n000016,2,1,0,1,1.0,0.5,0.0,0.5
n000016-fn000029-747.1365-748.4044,n000016,2,2,0,1,1.5,0.5,0.0,1.0
n000016-fn000029-759.2790-760.2892,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-774.6391-775.8761,n000016,2,1,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-790.2450-792.8427,n000016,5,1,0,0,0.2,0.0,0.0,0.2
n000016-fn000029-812.4905-813.5419,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-813.8306-816.6241,n000016,4,1,1,0,0.5,0.0,0.25,0.25
n000016-fn000029-817.1554-818.9182,n000016,2,1,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-828.4616-830.7500,n000016,4,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-84.9398-86.5673,n000016,3,2,1,0,1.0,0.0,0.333333,0.666667
n000016-fn000029-842.0752-844.3533,n000016,4,1,1,0,0.5,0.0,0.25,0.25
n000016-fn000029-845.0364-847.7372,n000016,6,1,1,0,0.333333,0.0,0.166667,0.166667
n000016-fn000029-848.6103-851.2595,n000016,4,2,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-863.0529-864.7229,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-866.0864-868.1686,n000016,4,1,1,0,0.5,0.0,0.25,0.25
n000016-fn000029-88.9863-90.9117,n000016,5,1,0,0,0.2,0.0,0.0,0.2
n000016-fn000029-887.3629-889.4305,n000016,3,3,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-889.4305-891.8986,n000016,4,3,1,0,1.0,0.0,0.25,0.75
n000016-fn000029-902.8510-905.2116,n000016,3,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-907.8312-909.5114,n000016,3,0,0,2,0.666667,0.666667,0.0,0.0
n000016-fn000029-909.5114-911.6143,n000016,4,2,0,0,0.5,0.0,0.0,0.5
n000016-fn000029-920.2181-921.6510,n000016,1,1,0,0,1.0,0.0,0.0,1.0
n000016-fn000029-926.9757-928.2746,n000016,3,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-929.4600-930.5527,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-95.3471-97.0490,n000016,1,1,0,1,2.0,1.0,0.0,1.0
n000016-fn000029-950.0637-951.0740,n000016,1,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-97.6507-99.0655,n000016,5,2,0,2,0.8,0.4,0.0,0.4
n000016-fn000029-971.2284-973.6509,n000016,2,1,1,0,1.0,0.0,0.5,0.5
n000016-fn000029-974.8641-975.8022,n000016,1,1,0,1,2.0,1.0,0.0,1.0
n000016-fn000029-978.0463-980.8604,n000016,1,0,0,1,1.0,1.0,0.0,0.0
n000016-fn000029-983.7494-985.2367,n000016,2,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-985.2367-986.6639,n000016,2,0,0,0,0.0,0.0,0.0,0.0
n000016-fn000029-994.8184-996.6636,n000016,3,2,0,0,0.666667,0.0,0.0,0.666667
n000019-fn000036-100.9290-101.9587,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-101.9587-103.3125,n000019,1,0,0,0,0.0,0.0,0.0,0.0
n000019-fn000036-107.9913-110.3762,n000019,7,1,0,0,0.142857,0.0,0.0,0.142857
n000019-fn000036-117.0367-118.2047,n000019,3,0,0,1,0.333333,0.333333,0.0,0.0
n000019-fn000036-125.8574-127.0018,n000019,2,0,0,1,0.5,0.5,0.0,0.0
n000019-fn000036-139.7770-141.0817,n000019,3,1,0,0,0.333333,0.0,0.0,0.333333
n000019-fn000036-143.5175-145.7121,n000019,6,3,0,0,0.5,0.0,0.0,0.5
