destination_pos,count
ADJ,888
ADP,539
ADV,405
AUX,261
CCONJ,329
DET,1023
INTJ,37
NOUN,2771
NUM,104
PRON,632
PROPN,602
SCONJ,61
SYM,162
VERB,1302
X,4
