pos_tag,count,percentage
ADJ,3437,8.3640
ADP,4992,12.1481
ADV,3548,8.6341
AUX,2437,5.9305
CCONJ,1795,4.3681
DET,5146,12.5228
INTJ,96,0.2336
NOUN,8757,21.3102
NUM,325,0.7909
PRON,4212,10.2499
PROPN,1015,2.4700
SCONJ,679,1.6523
SYM,234,0.5694
VERB,4415,10.7439
X,5,0.0122
TOTAL,41093,100.0000
