pos_tag,count,percentage
ADJ,3607,8.6659
ADP,4895,11.7603
ADV,3601,8.6515
AUX,2351,5.6483
CCONJ,1659,3.9858
DET,4814,11.5657
INTJ,59,0.1417
NOUN,9346,22.4539
NUM,844,2.0277
PRON,4088,9.8215
PROPN,1039,2.4962
SCONJ,664,1.5953
SYM,326,0.7832
VERB,4306,10.3452
X,24,0.0577
TOTAL,41623,100.0000
