pos_tag,count,percentage
ADJ,3438,8.4774
ADP,4952,12.2106
ADV,3529,8.7018
AUX,2401,5.9204
CCONJ,1496,3.6888
DET,5123,12.6322
INTJ,127,0.3132
NOUN,8684,21.4129
NUM,426,1.0504
PRON,4215,10.3933
PROPN,771,1.9011
SCONJ,673,1.6595
SYM,238,0.5869
VERB,4482,11.0517
TOTAL,40555,100.0000
