source_pos,count,category_error_rate
ADJ,846,0.234544
ADP,434,0.088662
ADV,415,0.115246
AUX,192,0.081667
CCONJ,290,0.174804
DET,557,0.115704
INTJ,19,0.322034
NOUN,2628,0.281190
NUM,545,0.645735
PRON,519,0.126957
PROPN,455,0.437921
SCONJ,38,0.057229
SYM,122,0.374233
VERB,1016,0.235950
X,9,0.375000
