destination_pos,count
ADJ,820
ADP,558
ADV,376
AUX,256
CCONJ,162
DET,939
INTJ,52
NOUN,2272
NUM,199
PRON,599
PROPN,375
SCONJ,57
SYM,193
VERB,1227
