pos_tag,count,percentage
ADJ,1666,8.3463
ADP,1755,8.7921
ADV,2018,10.1097
AUX,1076,5.3905
CCONJ,827,4.1431
DET,1512,7.5748
INTJ,813,4.0729
NOUN,2938,14.7187
NUM,162,0.8116
PRON,3459,17.3288
PROPN,536,2.6852
SCONJ,359,1.7985
SYM,110,0.5511
VERB,2729,13.6717
X,1,0.0050
TOTAL,19961,100.0000
