pos_tag,count,percentage
ADJ,1606,8.1358
ADP,1685,8.5360
ADV,1920,9.7264
AUX,1124,5.6940
CCONJ,688,3.4853
DET,1532,7.7609
INTJ,891,4.5137
NOUN,2889,14.6353
NUM,196,0.9929
PRON,3416,17.3050
PROPN,528,2.6748
PUNCT,1,0.0051
SCONJ,341,1.7275
SYM,183,0.9271
VERB,2740,13.8804
TOTAL,19740,100.0000
