destination_pos,count
ADJ,334
ADP,254
ADV,279
AUX,198
CCONJ,90
DET,396
INTJ,103
NOUN,834
NUM,44
PRON,660
PROPN,229
PUNCT,1
SCONJ,38
SYM,132
VERB,455
